entailment	id	similarity	sent1	sent2
None	4130	3.0	Uma mulher, que é velha, está perto de um cachorro branco	Uma mulher e um cachorro estão de pé perto de um toco de árvore
None	6237	4.5	Não tem nenhum homem tocando a bateria	Um homem está tocando a bateria
Entailment	1923	4.9	Uma mulher está fatiando uma cebola	Uma cebola está sendo fatiada por uma mulher
Entailment	1166	4.3	Uma mulher está fatiando uma berinjela	Uma mulher está fatiando um vegetal
None	5842	3.8	Não há nenhum cachorro rolando de um lado para outro	Um filhote de cachorro está rolando de um lado para outro de costas repetidamente
Entailment	1916	4.8	Nadadores estão competindo em um lago	Alguns nadadores estão competindo em um lago
Entailment	1891	4.9	Um monte de meninos está brincando com uma bola em frente a uma porta grande feita de madeira	Um grupo de meninos está brincando com uma bola em frente a uma porta grande feita de madeira
Entailment	2358	4.5	Um homem do Oriente Médio está parado encostado em um poste perto de outras pessoas	Um homem do Oriente Médio está apoiado contra um poste de luz perto de outras pessoas
Entailment	2501	5.0	Um homem está performando truques com uma bola de futebol	Um homem está fazendo alguns truques com uma bola de futebol de campo
Entailment	1708	4.4	Uma menina pequena está tocando um piano de cauda no palco	Uma menina pequena está tocando um piano, que é muito grande, no palco
Entailment	2678	4.9	Uma criança jovem está espirrando água	A criança jovem está espirrando água
None	6157	1.5	A massa está sendo esticada por um homem	Uma mulher está fatiando carne com uma faca
Entailment	2156	4.7	Um homem está derrubando uma árvore com um machado	Um homem está cortando uma árvore com um machado
Entailment	707	4.7	Uma mulher está fritando comida	Uma mulher está fritando alguma comida
None	4747	4.3	As crianças não estão brincando em frente a uma porta grande	As crianças estão brincando em frente a uma porta grande
None	5227	3.0	Um homem e uma mulher estão caminhando pela floresta	O homem e a mulher não estão andando
Entailment	2106	4.65	Uma mulher está dirigindo um carro e está conversando animadamente com o homem que está sentado ao lado dela	Uma mulher está dirigindo um carro e está conversando com o homem que está sentado ao seu lado
Entailment	1514	5.0	A menina está sentada no sofá e está fazendo crochê	A menina está sentada no sofá e fazendo crochê
None	6468	2.3	Um homem está falando	Um homem está dançando
None	6183	3.6	Um menino está surfando e pegando uma onda	Uma menina loira está pegando ondas
Entailment	2430	5.0	Um homem em uma cidade grande está segurando uma placa e pedindo dinheiro	Um homem em uma grande cidade está segurando uma placa e pedindo por dinheiro
None	5732	2.6	Duas pessoas estão na neve segurando dois cachorros com pelagens douradas	Duas pessoas estão na neve, usando roupas que oferecem camuflagem
None	4662	3.8	Um panda fofo está ficando deitado	O urso panda está descansando sobre os troncos
Entailment	2340	4.6	A criança pequenina está andando pela água e está sendo guiada por outra pessoa	A criança pequenina está vadeando pela água e está sendo guiada por outra pessoa
Entailment	2528	4.9	Azulejos estão sendo quebrados com suas mãos por um homem	Um homem está quebrando azulejos com as mãos
Entailment	2195	4.6	Um homem em uma motocicleta está andando em uma pista e acenando alegremente	Um homem em uma moto está pilotando na pista e acenando
Entailment	1744	5.0	Uma mulher está usando uma máquina de costura	Uma mulher está costurando com uma máquina
None	6117	2.2	Dois homens com bicicletas estão do lado de uma estrada nevada	Dois homens estão invadindo um carro durante uma viagem em uma estrada nevada
Entailment	965	4.3	Duas meninas com cachorros estão andando num caminho de floresta	Dois cachorros e duas pessoas estão andando no bosque
Entailment	2907	3.9	Algumas mulheres estão de mãos dadas em círculo e estão dançando	Um pequeno grupo de mulheres está segurando uma a outra e dançando junto
Entailment	160	4.8	O cachorro está sendo levado para passear pela mulher	A mulher está passeando com o cachorro
Entailment	490	4.3	Um gato pequenino está abrindo um armário de plástico com suas patas e pulando dentro	Um gato está abrindo uma gaveta e escalando para dentro
Entailment	797	4.4	Uma chita está correndo rapidamente atrás de sua presa	Uma chita está perseguindo suas presas através de um campo
Entailment	265	4.8	A comida está sendo frita por uma mulher	Uma mulher está fritando alguma comida
Entailment	2054	4.1	Alguns peixes estão nadando	Este peixe está nadando
None	4745	3.4	Um homem está lavando um grande bife	Um homem não está enxaguando um bife grande
Entailment	2962	4.7	Um cachorro preto e um cachorro branco estão se digladiando no chão	Um cachorro preto e um cachorro branco estão lutando no chão
None	5948	2.7	Não tem nenhuma pessoa fatiando uma cenoura em pedaços	Uma pessoa está cortando uma cebola em pedaços
None	6419	3.2	Uma mulher está quebrando um ovo em uma tigela	A mulher está pondo uma tigela com uma rachadura perto de um ovo
None	5177	4.0	O homem está apagando o trabalho de outro homem na lousa	O homem está apagando o desenho no quadro
None	4141	4.2	Um homem está tocando o violão	O homem está cantando com emoção e tocando violão
Entailment	1335	4.3	Um homem está tocando o teclado com o nariz	Um homem no teclado está tocando com seu nariz
None	4357	2.9	A mulher não está tocando um violão, que é acústico, ou cantando	Uma pessoa está tocando um violão e cantando
None	5092	4.3	Um palhaço está cantando e pessoas estão dançando	Não tem nenhum palhaço cantando
None	6096	3.0	Um homem está fatiando um pouco de alho e guardando o pão	Um homem está polvilhando tempero em vários pães fatiados e com manteiga
None	3809	3.55	Um cervo não está pulando sobre a cerca	Um cervo está pulando uma cerca
Entailment	444	4.9	Um homem está picando velozmente alguns cogumelos com uma faca	Um homem está picando rapidamente alguns cogumelos com uma faca
Entailment	410	4.5	Uma mulher com cabelos loiros está sentada no teto de um veículo amarelo e duas pessoas estão dentro	Uma mulher loira está sentada no teto de um veículo amarelo e duas pessoas estão dentro
Entailment	1815	4.9	Um homem barbado está em pé perto de um carrinho de compras e está segurando uma placa de papelão	Algum homem barbado está em pé perto de um carrinho de compras e está segurando uma placa de papelão
None	5131	4.5	Não tem nenhum cachorro brincando com um brinquedo	Um cachorro está brincando com um brinquedo
Entailment	1278	5.0	Um homem está dirigindo um carro	O carro está sendo conduzido por um homem
Entailment	2736	4.615	Uma mulher em uma pedra está deitada sobre um cobertor e lendo um livro	Uma mulher em uma pedra está deitada em um cobertor e está lendo um livro
Entailment	1495	4.4	O papel está sendo cortado com tesoura	O pedaço de papel está sendo cortado
None	3839	3.7	Um homem está usando roupas que estão cobertas com tinta e está sentado em uma área movimentada escrevendo algo	Um homem está sentado perto de uma bicicleta e escrevendo uma nota
None	5989	1.6	Um grupo de crianças vestindo a mesma roupa está esperando em um portão e uma está beijando a mãe	Uma multidão de pessoas está perto da água
Entailment	3143	4.9	Uma pedra está sendo escalada pelo cachorro preto	O cachorro preto está escalando uma rocha
None	3609	2.6	O homem está sendo derrubado do cavalo	Um cavalo está caindo sobre alguém
Entailment	3	4.7	Uma pessoa tem cabelo loiro e esvoaçante e está tocando violão	Um guitarrista tem cabelo loiro e esvoaçante
Entailment	964	4.8	Um homem está fazendo uma ligação de um celular	Um homem está falando em um celular
Entailment	799	4.4	Um gato está tocando um piano	Um gato está tocando teclados
Entailment	2797	4.8	Um jovem menino de babador está assistindo a câmera	Um menino pequeno com um babador está assistindo a câmera
Entailment	2732	4.9	Vegetais picados estão sendo despejados dentro de uma panela no fogão por uma pessoa	Uma pessoa está despejando vegetais picados em uma panela no fogão
Entailment	1629	3.6	Uma mulher está fervendo macarrão na água	Alguém está mexendo a comida na água
Entailment	2558	4.8	Ovos estão sendo fortemente batidos em uma tigela por uma pessoa	Uma pessoa está mexendo fortemente ovos em uma tigela
None	5632	3.2	Alguém em um poleiro está olhando um pequeno gato de madeira que está em um armário branco fora da janela	Um gato branco empoleirado em um pequenino armário de madeira está olhando para fora da janela
Entailment	1893	4.9	Um homem com um chapéu duro está dançando	Um homem está usando um chapéu que é duro e está dançando
Entailment	1837	4.4	Um homem está apresentando-se com um violão	Um homem está tocando um violão
Entailment	3136	4.8	Uma velha mulher está vestindo uma camisa com um padrão de rosas e está desajeitadamente carregando dois jornais	Uma mulher velha está usando uma camisa com padrões de rosas e está desajeitadamente carregando dois jornais
None	6473	3.4	O homem não está fatiando vegetais	Uma mulher está fatiando uma batata
None	6120	1.0	Não tem nenhum homem dirigindo o carro	Uma mulher está mergulhando um camarão na massa
None	4897	3.2	Um macaco está chutando raivosamente um alvo	Um chimpanzé está perdendo o alvo
None	3426	3.8	O homem está cozinhando fatias de batata	O homem está fatiando a batata
Entailment	2000	4.5	A jovem menina com camisa rosa está tranquilamente deitada na grama	A jovem e tranquila menina está deitada sobre a grama de camisa rosa
Entailment	1211	4.5	O homem e a mulher estão passeando	O homem e a mulher estão andando
Entailment	1304	4.9	Um cachorro preto está pulando de uma doca dentro da água	Um cachorro preto está pulando de uma doca para dentro da água
None	3709	3.5	Duas pessoas estão jogando pingue-pongue	Ninguém está jogando pingue-pongue
None	3712	4.8	Um homem está jogando futebol de campo	Não tem nenhum homem jogando futebol de campo
Entailment	2015	4.25	Os corredores estão competindo em volta da pista	Os corredores estão competindo em uma corrida
Entailment	1684	4.7	Uma criança jovem está escalando uma parede de escalada que está em uma área coberta	Uma criança pequena está escalando uma parede de escalada dentro de uma área coberta
Entailment	1146	4.8	O homem está cuidadosamente alimentando uma cobra com um rato	Uma cobra está sendo alimentada com um rato por um homem
Entailment	3144	4.8	Uma mulher está dançando e cantando com outras mulheres	Algumas mulheres estão dançando e cantando
Entailment	2743	4.9	Um homem está disparando com uma espingarda	Um homem está atirando com uma espingarda
None	4117	4.6	Os corredores estão correndo por uma pista	Os corredores estão competindo em uma pista
None	4654	4.6	Uma mulher está surfando	Uma senhora está surfando e pegando uma onda
None	4887	3.7	Uma criança está batendo em uma bola de beisebol	Uma família está observando um menino que está rebatendo uma bola de beisebol
Entailment	2193	4.9	Uma batata está sendo fatiada por uma pessoa	Uma pessoa está fatiando uma batata
None	5985	3.3	Um homem está colocando alho em algumas fatias de pão	Um homem está fatiando um pouco de alho e guardando o pão
None	6296	3.5	Uma mulher está cortando uma cebola	Não tem nenhuma mulher cortando uma cebola
Entailment	1378	4.7	Um homem em um chapéu azul de vaqueiro está cavalgando um cavalo branco	Um cavalo branco está sendo cavalgado por um homem com um chapéu azul de vaqueiro
None	4305	2.3	Uma mulher e um homem estão caminhando	Um homem está passeando na chuva
Entailment	1809	4.5	Um gato está abrindo uma gaveta e pulando dentro	Um gato está abrindo uma gaveta e escalando para dentro
None	4803	4.2	Um homem está caminhando na floresta	O homem está andando alegremente na floresta
None	4153	3.8	Duas pessoas estão na neve segurando dois cachorros com pelagens douradas	Duas pessoas estão passeando dois cachorros com pelagens douradas na neve
Entailment	1210	4.9	Um menino jovem na camisa azul está pulando na água	O menino jovem de camisa azul está pulando para dentro da água
None	5074	3.1	A pessoa está incendiando as câmeras	Não tem nenhuma pessoa incendiando as câmeras
Entailment	503	4.8	Um palhaço está cantando	Uma canção está sendo tocada por um palhaço
Entailment	726	4.9	Uma mulher está passeando com o cachorro na rua	A mulher está passeando com cachorro pela rua
Entailment	1880	4.815	Uma pessoa está cortando alho em pedaços com uma faca	Uma pessoa está fatiando alho em pedaços com uma faca
None	6403	3.55	O homem está martelando um prego com uma câmera	Alguém está pregando uma lente de câmera com fortes barulhos
None	3324	1.0	Não tem nenhum homem sentado na cadeira	A menina, que é pequena, está penteando o cabelo em um rabo de cavalo
None	4326	2.7	Alguém está fervendo quiabo em uma panela	Alguém está sendo fervido com quiabo em uma panela
Entailment	2289	4.8	Alguém está caindo de um cavalo	Alguém está caindo do cavalo
Entailment	1272	4.4	Uma mulher está pondo um bebê em uma lata de lixo	Uma mulher está pondo uma criança em uma lata de lixo
None	3418	3.1	Uma vaqueira está montando em um barril perto de um cavalo na esquina	O cavalo marrom está perto de um barril vermelho no rodeio
None	4417	2.8	A senhora está quebrando ovos crus na tigela	A mulher está guardando os ovos
None	5271	4.1	As mulheres estão dançando divinamente do lado de fora	Um grupo de pessoas está dançando
None	4073	2.6	Uma frigideira está sendo despejada sobre a carne	Uma mulher está colocando carne em uma frigideira
Entailment	1502	4.0	Dois homens estão lutando boxe	Dois homens estão lutando
None	5513	4.4	Um grupo de pessoas está em uma praia	Um homem, uma mulher e duas meninas estão sentados na praia
Entailment	3171	4.9	Língua de sinais está sendo usada por uma jovem menina	Uma menina jovem está usando língua de sinais
None	4515	1.0	Não tem nenhum homem atirando com armas	Uma mulher está andando a cavalo
None	4873	3.8	Não tem nenhum bebê brincando com um cachorro	Um bebê está brincando com um cachorro
Entailment	580	4.9	O cachorro preto está andando pela grama alta	Um cachorro preto está andando por alguma grama alta
None	4021	3.9	Algumas pessoas estão cantando	Algumas pessoas estão em silêncio
None	5613	3.1	Não tem nenhum homem polvilhando tempero em muitas fatias amanteigadas de pão	Um homem está colocando alho em algumas fatias de pão
None	3457	2.8	Um homem fazendo exercícios está sendo derrubado	O homem está fazendo exercícios no chão
Entailment	2348	4.9	Algumas crianças estão usando calças pretas e pulando	As crianças estão usando calças pretas e pulando
None	4989	2.9	Um violão está sendo tocando por um homem	Uma mulher está tocando um violão elétrico
None	3948	3.5	O homem não está cortando a fita da caixa	O homem está cortando a fita na caixa
None	5950	3.1	Um homem com equipamento de escalada está pendurado em uma rocha, que é vertical e branca	Uma mulher com um rabo de cavalo está subindo uma parede de pedra
None	4602	3.7	Uma pessoa está descascando uma cebola	As cebolas estão sendo fatiadas por uma pessoa
Entailment	932	5.0	Uma pedra está sendo escalada por uma pessoa com uma corda, que é rosa	Uma pessoa está escalando uma rocha com uma corda, que é rosa
None	5893	2.8	Uma pessoa está rasgando papel	Não tem nenhum homem cortando um papel
None	4876	2.1	Um pobre homem está sendo alimentado com cobras e ratos	O homem está cuidadosamente alimentando a cobra com um rato
None	3986	3.3	Um gato branco empoleirado em um pequenino armário de madeira está olhando para fora da janela	Não tem nenhum gato branco empoleirado em um pequenino armário de madeira olhando para fora da janela
None	6260	2.9	Uma pessoa está tocando um violão e cantando	A mulher não está tocando um violão, que é acústico, ou cantando
None	4678	3.5	Uma mulher está picando uma cebola	Uma mulher não está picando uma cebola
Entailment	860	4.4	Uma menina pequena está tocando um piano de cauda no palco	Uma menina pequena está tocando o piano
Entailment	2095	4.2	Um lêmure está mordendo o dedo de uma pessoa	Um animal está mordendo o dedo de uma pessoa
None	6150	2.1	Uma mulher está quebrando dois ovos em uma tigela	Uma pessoa está misturando os ingredientes na batedeira para o homem
None	3837	2.3	Um bebê está engatinhando feliz	Um bebê está espirrando e amedrontando outro bebê
None	3342	3.0	Uma mulher está fatiando uma batata	O homem está fatiando vegetais
Entailment	1090	4.4	Dois meninos no sofá estão jogando vídeo games	Uma dupla de meninos está jogando um videogame
Entailment	1991	4.9	O violão está sendo tocado por um homem	O violão está sendo tocado pelo homem
Entailment	2310	4.6	Uma mulher de camisa amarela está surfando em uma prancha rosa	Uma mulher com uma camisa tingida de amarelo está surfando em uma prancha de surf rosa
Entailment	2984	4.5	Um menino com uma camiseta branca está espirrando água no raso	Uma criança de camiseta branca está espirrando água no raso
Entailment	752	5.0	Um jogo de futebol está sendo assistido pela multidão	A multidão está assistindo um jogo de futebol
Entailment	1008	4.8	Três crianças estão correndo pela encosta gramada	Três infantes estão correndo morro abaixo
Entailment	3084	5.0	A multidão está assistindo um jogo de futebol	Um jogo de futebol está sendo assistido pela multidão
Entailment	2299	3.4	Uma mulher está limpando um camarão	Alguém está higienizando um animal
Entailment	135	5.0	O gato está brincando com uma melancia	Este gato está brincando com uma melancia
Entailment	1291	4.8	A água está sendo esguichada por um homem na boca de um cachorro branco com uma pistola de água	Um homem está esguichando água na boca de um cachorro branco com uma pistola de água
Entailment	1391	4.6	Dois meninos gêmeos pré-adolescentes estão duelando com varas	Duas crianças gêmeas pré-adolescentes estão duelando com bastões
Entailment	55	4.9	Um cachorro castanho está pulando no ar	Um cachorro, que é castanho, está pulando no ar
None	5043	4.6	Alguém está tocando o violão	Um homem está tocando um violão
None	6017	3.5	O homem de camiseta cinza está sentado em uma pedra em frente a cachoeira	Alguém está sentado na cachoeira e está olhando para uma mulher
None	3843	4.2	Um homem no palco está cantando apaixonadamente no microfone	Um homem de terno está de pé em frente a um microfone e cantando
None	5409	4.3	Um gato está bebendo leite avidamente	O gato está lambendo leite de um pires
None	4304	4.3	O homem está fatiando vegetais	O homem não está fatiando vegetais
None	3690	4.8	Um homem está dando um telefonema	Um homem está fazendo uma ligação de um celular
None	5039	2.2	Um homem está despejando uma panela de molho de queijo em um prato ralado	A senhora está adicionando queijo ao molho
None	3435	3.7	A mulher não está pegando e segurando um bebê canguru	A mulher está pegando e segurando um bebê canguru
Entailment	2143	4.9	Algum homem está apaixonadamente tocando um violão	Um homem está apaixonadamente tocando um violão
Entailment	867	5.0	O homem está sentado ao ar livre sob um guarda-chuva roxo	O homem está sentado do lado de fora sob um guarda-chuva roxo
None	5741	3.1	Alguém está sentado na cachoeira e está olhando para uma mulher	Uma mulher está sentada e olhando para uma cachoeira
None	5881	3.2	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	Um cachorro está perseguindo uma vara e segurando outro cachorro em sua boca
None	6372	3.5	Um homem no teclado está tocando com seu nariz	O homem está tocando o piano com seu nariz
None	4577	4.1	A mulher está passando sombra	A mulher não está passando sombra
Entailment	435	4.7	Um homem está quebrando um bloco de concreto com uma marreta	Um homem está quebrando uma laje de concreto com uma marreta
Entailment	674	4.8	Homens estão serrando	Alguns homens estão serrando
Entailment	1095	4.9	Uma mulher usando uma camisa azul e saltos altos está de pé na calçada ao lado de um homem	Uma mulher usando camisa azul e saltos altos está de pé na calçada ao lado do homem
None	4738	4.1	O homem não está desenhando	Um homem está desenhando
Entailment	1439	4.9	Três homens estão pulando de um muro alto	Três homens estão pulando de um muro
None	6350	2.8	Uma mulher está parada e um homem está sentado e à toa	Uma mulher está dançando e um homem está tocando o teclado
Entailment	400	4.9	Um homem está carregando uma mulher	Uma mulher está sendo carregada por um homem
Entailment	3221	4.815	As pessoas estão andando por uma rua movimentada	As pessoas estão andando por uma rua que está lotada
Entailment	383	4.1	O rinoceronte está pastando na grama	Um animal está pastando em um campo
None	5125	2.8	Papel e tesoura ambos cortam	O pedaço de papel está sendo cortado
Entailment	1237	5.0	Uma pessoa que está praticando snowboard está pulando no ar	A pessoa que está praticando snowboard pula pelo ar
Entailment	919	4.9	Uma pessoa está rapidamente cortando cogumelos com uma faca	Uma pessoa está picando rapidamente os cogumelos com uma faca
Entailment	2093	4.9	Um bebê está espirrando e amedrontando outro bebê	Um bebê está espirrando e assustando outro bebê
None	6241	3.2	Várias crianças estão pulando em um trampolim	Não há nenhuma criança pulando em um trampolim
Entailment	513	4.9	Uma criança jovem está de pé em frente a algumas árvores	Uma criança, que parece jovem, está em pé em frente a algumas árvores
None	4582	3.3	Não tem nenhum menino brincando ao ar livre e não tem nenhum homem sorrindo	Um grupo de crianças está brincando em um quintal e um homem velho está parado ao fundo
None	5504	2.5	Um homem está apaixonadamente tocando um violão	O tocador de violão ama o homem apaixonadamente
Entailment	1523	3.0	Uma jovem senhora com cabelo castanho claro está usando um colar vermelho, um moletom e brincos e está sorrindo	Uma menina adolescente está usando miçangas que são vermelhas
None	6006	3.6	Alguém está em uma motocicleta preta e branca e está sentado no assento	Nenhum motociclista está de pé no banco de uma motocicleta
None	4864	2.7	O homem está fazendo um truque de magia	Um homem está perigosamente jogando facas em uma árvore
None	4469	2.7	Uma mulher está falando em um telefone	Dois meninos assustados estão conversando no telefone
Entailment	1374	4.4	A menina de azul está perseguindo o corredor da base com um número na camisa de time	A menina de azul está perseguindo o jogador com um número na camisa de time
None	5439	3.7	Uma mulher está fatiando uma batata	Não tem nenhuma mulher fatiando uma batata
Entailment	1470	4.6	Uma mulher está cuidadosamente aplicando cosméticos em sua pálpebra	Uma mulher está aplicando cosméticos em sua pálpebra
Entailment	370	4.4	O menino na grama está deitado e está segurando a bola de futebol entre seus pés	A bola de futebol está entre os pés de um menino que está deitado na grama
Entailment	1097	4.9	Um violão está sendo tocado por um homem	Um homem está tocando violão
None	4343	4.3	Um macaco pequenino está andando pela água	Um macaco pequenino está andando no rio
Entailment	2788	4.5	Dois cachorros brancos e um cachorro castanho estão perseguindo a bola	Dois cachorros brancos e um cachorro castanho estão perseguindo um brinquedo
None	4072	3.6	A jovem e tranquila menina está deitada sobre a grama de camisa rosa	Uma menina está usando uma camisa rosa que tem escrita branca e está ficando deitada na grama
Entailment	1127	4.7	Pessoas estão andando do lado de fora de um prédio que possui muitos murais	Pessoas estão andando do lado de fora do prédio que possui vários murais
Entailment	2784	4.0	Um menino está sentado em uma sala e está tocando piano ao lado de uma luminária	Um menino está tocando um teclado
None	3533	4.0	Uma criança pequena está escalando uma parede de escalada dentro de uma área coberta	Uma criança jovem está debaixo de uma parede de escalada que está numa área coberta
None	3409	3.1	Um homem está rindo	Um homem está gritando
Entailment	543	4.9	Uma mulher está usando uma máquina de costura	Uma mulher está costurando com uma máquina
None	5924	3.5	Um homem vestido de preto está andando de bicicleta	Um homem negro de verde está andando em uma bicicleta
None	4044	2.8	Não tem nenhuma menina pequena tocando num piano de cauda no palco	Uma menina pequena está tocando um piano de cauda no palco
Entailment	1491	4.5	As mulheres estão dançando divinamente do lado de fora	As mulheres estão dançando do lado de fora
Entailment	3091	5.0	O cachorro vermelho e castanho está enfiando seu focinho dentro de uma sacola de presente	Um cachorro vermelho e castanho está enfiando seu focinho na sacola de presente
Entailment	37	4.5	O avião, que é sul-africano, está voando em um céu azul	Um avião está voando pelo ar
None	5241	3.6	A mulher está pondo o canguru de volta	A mulher está pegando o canguru
None	6483	2.7	Um homem está quebrando uma mão de madeira contra uma placa	Um homem está quebrando azulejos com as mãos
Entailment	322	4.3	A menina loira com a blusa rosa está sorrindo e usando óculos engraçados com um grande nariz acoplado	A menina pequena está sorrindo e usando um nariz falso e óculos
Entailment	166	4.8	Dois homens e uma menina na frente de uma parede de madeira estão fazendo caretas engraçadas	Dois homens e uma menina em frente a uma parede de madeira estão posando com caras engraçadas
Entailment	1940	4.9	Um homem de chapéu branco está tocando violão no palco	O homem de chapéu branco está tocando violão no palco
None	6345	4.2	Um esquilo está correndo em círculos	Não tem nenhum esquilo girando em círculos
Entailment	1643	4.45	Um homem e uma mulher estão correndo juntos e de mãos dadas	Um casal está correndo e de mãos dadas
Entailment	297	4.8	Um homem está parado perto de uma gaiola de pássaros grande e colorida	Um homem está de pé ao lado de uma gaiola de pássaros que é grande e colorida
None	4101	2.6	Duas pessoas estão na neve, usando roupas que oferecem camuflagem	Duas pessoas estão na neve segurando dois cachorros com pelagens douradas
Entailment	182	4.5	A mulher está passando maquiagem no homem	O rosto de um homem está sendo pintado por uma mulher
Entailment	1772	4.9	Os brócolis estão sendo picados por uma mulher	Uma mulher está picando brócolis
None	3960	3.6	Um menino em um morro coberto de neve está vestindo uma blusa vermelha e um chapéu preto e deslizando nos seus joelhos	Uma criança está escorregando na neve
Entailment	1878	4.9	Uma menina está aplicando maquiagem em seu rosto	A menina está passando maquiagem em sua face
Entailment	63	4.2	Um carro de rali branco está jogando lama no ar e está se aproximando de uma curva na pista	Um veículo de corrida branco está passando por uma poça
Entailment	2641	4.6	Um homem está derrubando uma árvore com um machado	Uma pessoa está derrubando uma árvore com um machado
None	5054	3.6	Um cachorro castanho e branco está se movendo pela grama selvagem	Um cachorro branco e caramelo está correndo pela grama alta e verde
Entailment	2436	4.4	Um jovem menino está cantando e tocando violão	Uma criança está tocando violão
None	5371	3.6	Uma criança risonha está segurando uma pistola de água e sendo espirrada com água	Não tem nenhuma criança segurando uma pistola de água
Entailment	2224	4.5	Uma família feliz está posando junto da lareira	Uma família, que parece feliz, está posando junto à lareira
None	5211	4.0	Homens estão serrando troncos	As mulheres estão serrando troncos
Entailment	1268	4.6	Pessoas estão andando por uma multidão na rua	As pessoas estão andando por uma rua movimentada
Entailment	1388	4.9	Um menino jovem está andando de mountain bike pela lama	Um jovem menino está pedalando uma mountain bike pela lama
Entailment	3219	4.7	Um homem está usando um capacete de proteção e dançando	Um homem com um chapéu duro está dançando
None	4610	1.0	Um pequeno grupo de mulheres está segurando uma a outra e dançando junto	Dois homens estão jogando pebolim
None	4071	3.4	Uma menina está acordando	Uma menina está caindo no sono
None	5621	4.5	Um homem está despejando óleo em uma frigideira	Um homem está despejando óleo dentro de uma sautese
None	4929	3.185	Uma mulher está fervendo camarões	Uma mulher não está fervendo camarões
Entailment	3063	4.9	Algum homem barbado está em pé perto de um carrinho de compras e está segurando uma placa de papelão	Um homem barbado está em pé perto de um carrinho de compras e está segurando uma placa de papelão
None	4817	3.8	Um cachorro que tem pelagem castanha e branca está trotando pelo raso	Um cachorro branco e castanho está andando ansiosamente pela água com dificuldade
Entailment	512	4.6	Diferentes times estão jogando futebol no campo	Times diferentes estão jogando futebol no campo
Entailment	1834	4.9	Alguém está digitando no teclado	Alguém está digitando em um teclado
Entailment	1451	4.2	O cachorro está andando ao longo de uma ponte feita por um tronco sobre a água	Um rio está sendo atravessado por um cachorro em uma ponte feita de uma árvore caída
Entailment	1741	4.9	Alguém está parado no topo de uma montanha	Uma pessoa está de pé no topo da montanha
Entailment	1814	4.9	A criança está brincando com a fonte de água ao ar livre e o resto da família está assistindo	Uma criança está brincando com uma bica de água ao ar livre e o resto de sua família está assistindo
None	4233	4.0	Um rinoceronte está pastando em um campo	O rinoceronte está sendo alimentado na grama
Entailment	781	4.9	Uma menina pequena de camisa rosa está correndo debaixo de uma árvore no deserto	A menina pequena de camisa cor-de-rosa está correndo debaixo de uma árvore no deserto
Entailment	798	4.9	O cachorro branco usando orelhas de rena está próximo de um cachorro castanho	O cachorro branco usando orelhas de rena está perto de um cachorro castanho
None	5938	1.0	Alguns animais estão brincando na água	Duas pessoas estão jogando pingue-pongue
Entailment	1289	4.5	Uma criança está vestindo um casaco e está carregando um trenó vermelho atrás de uma criança com um casaco verde e preto	Uma criança está vestindo um casaco e carregando um trenó vermelho perto de uma criança de casaco verde e preto
None	4150	3.2	Uma pessoa está fatiando um pedaço de pão	Ninguém está fatiando um pedaço de pão
None	3555	3.8	Uma mulher está estacionando uma moto aquática	Uma mulher está andando em uma moto aquática
Entailment	1760	4.9	Uma criança jovem com cabelo de cor preta está tirando uma foto com uma câmera	Uma criança jovem com cabelo preto está tirando uma foto com uma câmera
Entailment	1408	4.8	Um homem está tocando um violão	Um violão está sendo tocando por um homem
Entailment	2152	4.5	Uma pessoa está olhando uma moto de motocross que está deitada de lado e outra está correndo por ali	Uma pessoa está olhando para uma moto projetada para motocross que está deitada de lado e outra está correndo por ali
Entailment	3077	5.0	Óleo está sendo derramado em uma sautese por um homem	Um homem está despejando óleo dentro de uma sautese
Entailment	2866	4.9	Um cachorro está perseguindo a cauda de um animal na grama	A cauda de um animal está sendo perseguida por um cachorro na grama
None	4661	3.0	Um adulto está no anfiteatro e está falando seriamente com um menino	O homem e o menino estão de pé embaixo da escada, que é ao ar livre
None	4813	3.4	Uma menina está caindo no sono	Uma menina está acordando
None	4775	3.0	Uma mulher está quebrando um ovo em uma tigela	A mulher não está rachando dois ovos em uma tigela de vidro
None	5896	2.865	Uma mulher está cortando brócolis	Uma mulher está cortando algumas flores
None	5224	1.0	A mulher está despejando óleo em uma sautese	Um chimpanzé está perdendo o alvo
None	3323	3.4	Um homem está tirando fotos de um lago	O homem está configurando a câmera e tirando fotos do pôr-do-sol na praia
Entailment	2329	4.4	Um piano está sendo tocado por um homem	Um piano está sendo tocado por uma pessoa
None	4955	3.8	Duas pessoas estão na neve, usando roupas que oferecem camuflagem	Duas pessoas estão na neve sem usar roupas que proporcionam camuflagem
None	5962	2.9	A mulher não está fatiando ervas	O homem está fatiando pão
Entailment	2040	4.4	O cachorro está correndo pela areia molhada	O cachorro está se movendo pela areia molhada
None	5373	3.7	Um motociclista está pulando sobre uma pessoa em uma pista arenosa	A pessoa está andando de moto em uma pista arenosa
None	4854	4.4	Um homem está montando um animal	Um homem está andando a cavalo
Entailment	900	4.9	Furões estão escalando prateleira abaixo	Alguns furões estão escalando prateleira abaixo
Entailment	820	4.9	Uma banda está se apresentando no palco	Uma banda está tocando no palco
Entailment	2234	5.0	A maquiagem está sendo colocada no homem pela mulher	A mulher está passando maquiagem no homem
